epoch,timecost,storagecost
0,0.193337,868530
1,0.123554,2248794
6,0.124941,13300318
11,0.128646,28998690
16,0.128727,57205098
21,0.128262,70749082
26,0.127969,91722346
31,0.128019,112837066
36,0.127927,162460718
41,0.127789,182657294
46,0.127631,202612410
51,0.127976,236055274
56,0.128164,265475102
61,0.128140,289596542
66,0.128124,407146522
71,0.128101,422949542
76,0.128030,446081982
81,0.128002,481214622
86,0.127908,500867310
91,0.128110,529112806
96,0.128109,604768390
101,0.128102,622864850
106,0.127998,650596910
111,0.128350,678468742
116,0.128211,724467534
121,0.128295,760729994
126,0.128652,796179214
131,0.128621,1079985846
136,0.128701,1102102310
141,0.128571,1119752258
146,0.128791,1154900470
151,0.128785,1175903546
156,0.128908,1206850614
161,0.128912,1277723114
166,0.129186,1297707862
171,0.129313,1325753046
176,0.129442,1376463502
181,0.129716,1400906066
186,0.129805,1438395782
191,0.129987,1476378738
196,0.130157,1627470374
201,0.131724,1654581126
206,0.132155,1681667642
211,0.132513,1727581606
216,0.133055,1766334254
221,0.133169,1798374986
226,0.133387,1890872970
231,0.134173,1918706578
236,0.134600,1959911562
241,0.136645,2021555246
246,0.137833,2056724194
251,0.139481,2106608422
256,0.140463,2864329790
261,0.141602,2877668390
266,0.142774,2898819762
271,0.143907,2919896734
276,0.144824,2955048002
281,0.146264,2981731982
286,0.147804,3007784898
291,0.148546,3074482170
296,0.149626,3103952998
301,0.150909,3127975966
306,0.152180,3175310406
311,0.153479,3203678094
316,0.154278,3245028914
321,0.155145,3404936774
326,0.156197,3425045410
331,0.157841,3453298598
336,0.158882,3504548518
341,0.160515,3528587778
346,0.161804,3565503926
351,0.163151,3603279758
356,0.165121,3692286886
361,0.165964,3728245962
366,0.166735,3763370526
371,0.168694,3824214694
376,0.169853,3876397566
381,0.171734,3919896470
386,0.172521,4307397110
391,0.177927,4328351726
396,0.179358,4359540602
401,0.180175,4406045358
406,0.181038,4432915358
411,0.182365,4470515546
416,0.183475,4570451366
421,0.184447,4594321958
426,0.185554,4631413202
431,0.186807,4668513818
436,0.187711,4729993986
441,0.188647,4777558910
446,0.189498,4825251458
451,0.190529,5028233398
456,0.191464,5067461710
461,0.192551,5099048070
466,0.194774,5161138122
471,0.195982,5198415022
476,0.197852,5253300142
481,0.198611,5379136390
486,0.199086,5413913386
491,0.200182,5463891878
496,0.200977,5554089166
