epoch,timecost,storagecost
0,0.161588,1526
1,0.105455,3770
6,0.105444,21486
11,0.106257,46246
16,0.107153,90742
21,0.107773,111974
26,0.108232,144838
31,0.109081,177706
36,0.109735,255086
41,0.110368,286670
46,0.111181,317830
51,0.111567,370614
56,0.112367,416022
61,0.112946,453414
66,0.113690,635854
71,0.114497,660614
76,0.115181,696886
81,0.115872,751374
86,0.116470,782530
91,0.117201,826206
96,0.117841,943046
101,0.118504,971206
106,0.119060,1014882
111,0.119664,1058558
116,0.120218,1131054
121,0.120854,1186870
126,0.121527,1241922
131,0.122192,1681034
136,0.122846,1715202
141,0.123410,1743354
146,0.124052,1797830
151,0.124671,1830698
156,0.125320,1878926
161,0.125991,1988218
166,0.126751,2019374
171,0.127404,2063050
176,0.128038,2141830
181,0.128717,2179222
186,0.129417,2237310
191,0.130456,2295390
196,0.131172,2527886
201,0.131806,2569846
206,0.132484,2611246
211,0.133110,2681466
216,0.133721,2741870
221,0.134352,2791574
226,0.134974,2934882
231,0.135597,2978550
236,0.136242,3042706
241,0.136860,3139230
246,0.137480,3194270
251,0.138113,3271582
256,0.138733,4443158
261,0.139334,4464382
266,0.139984,4497250
271,0.140621,4530118
276,0.141279,4584598
281,0.141852,4626570
286,0.142448,4667970
291,0.143070,4771574
296,0.143729,4816974
301,0.144371,4854362
306,0.145012,4926862
311,0.145647,4970538
316,0.146220,5034690
321,0.147073,5281782
326,0.147734,5312942
331,0.148389,5356606
336,0.149029,5435394
341,0.149645,5472782
346,0.150282,5530870
351,0.150930,5588958
356,0.151572,5726190
361,0.152159,5781998
366,0.152844,5837054
371,0.154056,5930534
376,0.154737,6010926
381,0.155447,6077050
386,0.156106,6673458
391,0.156741,6706326
396,0.157517,6754550
401,0.158399,6827054
406,0.158995,6868438
411,0.159626,6926526
416,0.160240,7082166
421,0.160865,7119574
426,0.161466,7177654
431,0.162089,7235742
436,0.162702,7332262
441,0.163292,7406534
446,0.163949,7479790
451,0.164588,7794426
456,0.165228,7854818
461,0.165853,7904526
466,0.166460,8001042
471,0.167108,8059126
476,0.167740,8144526
481,0.168317,8338490
486,0.168939,8393534
491,0.169588,8470826
496,0.170227,8610550
