epoch,timecost,storagecost
0,0.266580,31406
1,0.106488,82974
2,0.108391,151474
3,0.105130,219978
4,0.104845,333634
5,0.104635,402126
6,0.103263,493202
7,0.103014,584278
8,0.103100,818310
9,0.102986,886798
10,0.102706,977874
11,0.102289,1068950
12,0.101960,1220226
13,0.102171,1311290
14,0.101864,1432454
15,0.101898,1553626
16,0.102183,2108658
17,0.102024,2177158
18,0.101895,2268222
19,0.101943,2359294
20,0.101872,2510574
21,0.101749,2601638
22,0.101749,2722802
23,0.101689,2843974
24,0.101723,3155758
25,0.101651,3246810
26,0.101562,3367974
27,0.101518,3489146
28,0.101547,3690582
29,0.101478,3811738
30,0.101336,3973030
31,0.101408,4134326
32,0.101292,5545390
33,0.101268,5613878
34,0.101186,5704950
35,0.101237,5796026
36,0.101178,5947298
37,0.101194,6038358
38,0.101168,6159526
39,0.101270,6280694
40,0.101228,6592478
41,0.101326,6683530
42,0.101383,6804702
43,0.101295,6925866
44,0.101269,7127310
45,0.101249,7248462
46,0.101259,7409750
47,0.101187,7571050
48,0.101210,8310834
49,0.101274,8401902
50,0.101287,8523062
51,0.101319,8644234
52,0.101258,8845670
53,0.101308,8966822
54,0.101373,9128114
55,0.101489,9289406
56,0.101448,9704854
57,0.101572,9825994
58,0.101556,9987294
59,0.101582,10148582
60,0.101659,10416910
61,0.101696,10578182
62,0.101721,10792966
63,0.101749,11007770
64,0.101790,14701526
65,0.101762,14770014
66,0.101765,14861090
67,0.101797,14952166
68,0.101834,15103446
69,0.101810,15194502
70,0.101863,15315670
71,0.101834,15436842
72,0.101836,15748614
73,0.101703,15839670
74,0.101680,15960838
75,0.101644,16082006
76,0.101648,16283446
77,0.101596,16404602
78,0.101657,16565890
79,0.101620,16727190
80,0.101605,17466974
81,0.101627,17558042
82,0.101596,17679202
83,0.101553,17800374
84,0.101572,18001810
85,0.101565,18122958
86,0.101575,18284254
87,0.101569,18445546
88,0.101581,18860994
89,0.101571,18982134
90,0.101584,19143430
91,0.101563,19304718
92,0.101555,19573046
93,0.101564,19734318
94,0.101572,19949106
95,0.101573,20163910
96,0.101581,22045058
97,0.101548,22136110
98,0.101559,22257278
99,0.101551,22378446
100,0.101560,22579878
